dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
cifar10,shard,label_flip,,oracle_excl,0.42650000000000005,0.10862500000000001,0.10862500000000001,1.0,0.0,,,,3,44.666666666666664
cifar10,shard,label_flip,,random_excl,0.27175,-0.046125,0.10862500000000001,-0.5668006353169597,0.3836468966059729,,,,3,44.666666666666664
cifar10,shard,label_flip,,vanilla,0.31787499999999996,0.0,0.10862500000000001,0.0,0.0,,,,3,44.666666666666664
fmnist,dir1,clean,,flirds_gate_v1,0.8388333333333332,0.02708333333333331,,,,,441.6666666666667,0.0,3,0.0
fmnist,dir1,clean,,flirds_gate_v2,0.8320833333333333,0.020333333333333353,,,,,2357.6666666666665,0.0,3,0.0
fmnist,dir1,clean,,flirds_gatew_v1,0.8415416666666666,0.02979166666666666,,,,,326.6666666666667,0.0,3,0.0
fmnist,dir1,clean,,flirds_gatew_v2,0.8455833333333334,0.033833333333333306,,,,,2259.0,0.0,3,0.0
fmnist,dir1,clean,,flirds_mult,0.82925,0.01749999999999996,,,,,,,3,0.0
fmnist,dir1,clean,,flirds_zgate_v2,0.8481666666666667,0.03641666666666669,,,,,,,3,0.0
fmnist,dir1,clean,,vanilla,0.81175,0.0,,,,,,,3,0.0
fmnist,dir1,free_rider,,flirds_gate_v1,0.8090833333333333,0.0009583333333333203,0.033708333333333305,0.16859732950419268,0.8084934030010837,0.9333333333333332,181.33333333333334,0.7271953326543897,3,40.0
fmnist,dir1,free_rider,,flirds_gate_v2,0.8389166666666666,0.03079166666666666,0.033708333333333305,0.9084426784181693,0.09408429377928054,0.7055555555555556,1444.0,0.7378218877862315,3,40.0
fmnist,dir1,free_rider,,flirds_gatew_v1,0.8097083333333334,0.001583333333333307,0.033708333333333305,0.10220340661517073,0.4107822790747491,0.9777777777777777,134.33333333333334,0.782521636106984,3,40.0
fmnist,dir1,free_rider,,flirds_gatew_v2,0.8420833333333334,0.03395833333333328,0.033708333333333305,1.1071115567439096,0.489414156228709,0.7555555555555555,1068.3333333333333,0.7944529639068657,3,40.0
fmnist,dir1,free_rider,,flirds_mult,0.8204583333333333,0.012333333333333307,0.033708333333333305,0.3819081336238194,0.0956892255285689,0.4365277777777778,,,3,40.0
fmnist,dir1,free_rider,,flirds_zgate_v2,0.8092083333333333,0.001083333333333288,0.033708333333333305,0.00022653000593983452,0.16703538052018213,0.7333333333333334,,,3,40.0
fmnist,dir1,free_rider,,oracle_excl,0.8418333333333333,0.033708333333333305,0.033708333333333305,1.0,0.0,,,,3,40.0
fmnist,dir1,free_rider,,random_excl,0.8124583333333333,0.0043333333333333,0.033708333333333305,0.11572010959265715,0.31526935586951305,,,,3,40.0
fmnist,dir1,free_rider,,vanilla,0.808125,0.0,0.033708333333333305,0.0,0.0,,,,3,40.0
fmnist,dir1,frrand,,flirds_gate_v1,0.8036666666666666,-0.005249999999999977,0.03291666666666667,-0.13069685045435897,0.39734076396335094,0.8445833333333334,266.6666666666667,0.47121431066610725,3,40.0
fmnist,dir1,frrand,,flirds_gate_v2,0.821625,0.012708333333333321,0.03291666666666667,0.4494846576687301,0.35794749579963997,0.6566666666666667,1770.3333333333333,0.5963492342855288,3,40.0
fmnist,dir1,frrand,,flirds_gatew_v1,0.8147083333333334,0.005791666666666677,0.03291666666666667,0.23603966522125838,0.4286908993929535,0.9765277777777778,138.33333333333334,0.6306186814953518,3,40.0
fmnist,dir1,frrand,,flirds_gatew_v2,0.841625,0.03270833333333334,0.03291666666666667,1.0047875691303634,0.12303192992512466,0.8490277777777777,697.6666666666666,0.7860336451991277,3,40.0
fmnist,dir1,frrand,,flirds_mult,0.8197916666666667,0.010875000000000004,0.03291666666666667,0.3496582438439702,0.11197906736302433,0.43097222222222226,,,3,40.0
fmnist,dir1,frrand,,flirds_zgate_v2,0.8078333333333333,-0.001083333333333325,0.03291666666666667,-0.05889277065909726,0.1533369703281856,0.7027777777777778,,,3,40.0
fmnist,dir1,frrand,,oracle_excl,0.8418333333333333,0.03291666666666667,0.03291666666666667,1.0,0.0,,,,3,40.0
fmnist,dir1,frrand,,random_excl,0.8129583333333333,0.004041666666666684,0.03291666666666667,0.12413643813478555,0.30611482024985565,,,,3,40.0
fmnist,dir1,frrand,,vanilla,0.8089166666666667,0.0,0.03291666666666667,0.0,0.0,,,,3,40.0
fmnist,dir1,grad_noise,,flirds_gate_v1,0.7814583333333333,0.041500000000000016,0.10187500000000001,0.4240434893765917,0.1151568843538306,0.9806944444444444,201.0,0.6638291247669711,3,40.0
fmnist,dir1,grad_noise,,flirds_gate_v2,0.856125,0.11616666666666668,0.10187500000000001,1.1592201912710103,0.10316189918387568,0.92375,1336.3333333333333,0.7507223144627243,3,40.0
fmnist,dir1,grad_noise,,flirds_gatew_v1,0.7682083333333333,0.028249999999999997,0.10187500000000001,0.25166136704301795,0.1333033401473801,0.9695833333333334,151.33333333333334,0.7171591999929684,3,40.0
fmnist,dir1,grad_noise,,flirds_gatew_v2,0.8531666666666666,0.11320833333333336,0.10187500000000001,1.1232419746394882,0.09246577004315225,0.9812500000000001,756.0,0.8306014851931017,3,40.0
fmnist,dir1,grad_noise,,flirds_mult,0.7947500000000001,0.05479166666666672,0.10187500000000001,0.520539062775185,0.17788374061927703,0.9870833333333332,,,3,40.0
fmnist,dir1,grad_noise,,flirds_zgate_v2,0.7940416666666668,0.05408333333333337,0.10187500000000001,0.5169452437002072,0.1792138566468727,0.9988888888888888,,,3,40.0
fmnist,dir1,grad_noise,,oracle_excl,0.8418333333333333,0.10187500000000001,0.10187500000000001,1.0,0.0,,,,3,40.0
fmnist,dir1,grad_noise,,random_excl,0.738125,-0.0018333333333333164,0.10187500000000001,-0.026828534425144848,0.27555567777931544,,,,3,40.0
fmnist,dir1,grad_noise,,vanilla,0.7399583333333334,0.0,0.10187500000000001,0.0,0.0,,,,3,40.0
