dataset,partition,scenario,method,spearman_b,pearson_b,kendall_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,qskew,label_flip@'0.35',FedIF,0.5921672167216722,0.5212655741560769,0.41050505050505054,0.8546051558695232,0.6087906435461883,,5.504445348720765
cifar10,qskew,label_flip@'0.35',FedSV,0.808148814881488,0.7204752047791044,0.6197979797979799,0.8720562082555627,0.6382133573291789,,291.9628821059596
cifar10,qskew,label_flip@'0.35',Flirds,0.9923992399239924,0.9798202561421548,0.947744107744108,0.937384819868832,0.7505584386678472,,10.930101738660596
cifar10,qskew,label_flip@'0.35',Flirds1st,0.6325112511251124,0.5423147039388815,0.48417508417508426,0.8689296696846212,0.6339030621360041,,4.208269331943787
cifar10,qskew,label_flip@'0.35',GTG,0.856069606960696,0.8211501087154388,0.6783838383838385,0.8963838791205014,0.67994842267829,,1139.5832995879366
cifar10,qskew,label_flip@'0.35',ShapleyFL,0.664190419041904,0.6052902495622244,0.4505050505050506,0.8937424711446847,0.6758189023677011,,1460.7515728640235
cifar10,qskew,label_flip@'0.35',loss-heur,0.9526152615261525,0.9614981520531544,0.8385185185185186,0.9349747626554376,0.7466266701591979,,9.20358502372983
cifar10,qskew,label_flip@'0.70',(b)oracle,,,,0.9995985547972701,0.857550517519861,,829.3390262169996
cifar10,qskew,label_flip@'0.70',ComFedSV,0.4208540854085408,0.39402339429457617,0.28390572390572394,0.7710990105925398,0.4642954326205048,,23.823317983672798
cifar10,qskew,label_flip@'0.70',FedIF,0.7643044304430443,0.7658622207568296,0.5372390572390574,0.9950084068936528,0.8497664707377575,,5.3974773124209605
cifar10,qskew,label_flip@'0.70',FedSV,0.9092069206920691,0.8950264278662429,0.7610774410774411,0.9544362560057177,0.7798738195785692,,294.0324239934368
cifar10,qskew,label_flip@'0.70',Flirds,0.9923552355235522,0.9939923370373772,0.9578451178451179,0.9915278300185276,0.8436327582878956,,10.434371490749376
cifar10,qskew,label_flip@'0.70',Flirds1st,0.9754495449544952,0.928372461378355,0.89979797979798,1.0,0.8582446230028519,,4.185993197994928
cifar10,qskew,label_flip@'0.70',GTG,0.931169116911691,0.9098403116742234,0.7924579124579125,0.9709071281385301,0.8082248028800466,,828.1124322603961
cifar10,qskew,label_flip@'0.70',ShapleyFL,0.7585318531853185,0.8069882197092165,0.5416835016835018,0.9819304510599937,0.8271232969540717,,1487.138414483731
cifar10,qskew,label_flip@'0.70',loss-heur,0.9947594759475945,0.9904278112751137,0.9461279461279463,1.0,0.8582446230028519,,9.213921169672782
cifar10,qskew,label_flip_strmain,(b)oracle,,,,1.0,0.8558422226457326,0.4241408980869797,836.5627010299359
cifar10,qskew,label_flip_strmain,ComFedSV,0.42221822182218216,0.4071689682447232,0.28511784511784516,0.7664201298768322,0.49674361772454834,0.31982834904402235,24.015096692678828
cifar10,qskew,label_flip_strmain,FedIF,0.7698569856985698,0.7441318190483037,0.5486868686868688,0.9951745252715014,0.8442522075367256,0.36694643397588317,5.375788966349016
cifar10,qskew,label_flip_strmain,FedSV,0.9146994699469947,0.9148526458449809,0.7694276094276096,0.9517297958161501,0.8090639300759616,0.6798986396927248,296.3949076384306
cifar10,qskew,label_flip_strmain,Flirds,0.9935793579357934,0.9950333049095277,0.9617508417508419,0.9911077533949175,0.8424225214007762,0.4154862828254216,10.742570177729553
cifar10,qskew,label_flip_strmain,Flirds1st,0.9754335433543352,0.9330400718951709,0.9003367003367004,0.999330924662117,0.8672542005594597,0.5501313667819201,4.299789090019961
cifar10,qskew,label_flip_strmain,GTG,0.9212921292129211,0.9198133738957348,0.7756228956228958,0.96274092337009,0.8228365088809833,0.6509260458126032,860.3668009193303
cifar10,qskew,label_flip_strmain,ShapleyFL,0.7626002600260025,0.7980173296133252,0.547878787878788,0.9782538202050289,0.838419475923752,0.5832220780015219,1491.9603976283688
cifar10,qskew,label_flip_strmain,loss-heur,0.9947554755475547,0.9907820562502444,0.9482828282828284,1.0,0.8606138092557719,0.4696855765380454,9.272548183022687
cifar10,shard,clean,(b)oracle,,,,,,,824.228722049098
cifar10,shard,clean,ComFedSV,0.131011101110111,0.16089946361643684,0.09090909090909093,,,,23.76116216520313
cifar10,shard,clean,FedIF,0.5125232523252324,0.5553895100621187,0.36484848484848487,,,,5.659572900447529
cifar10,shard,clean,FedSV,0.4113711371137113,0.4432287876052511,0.2923232323232323,,,,293.12205574521795
cifar10,shard,clean,Flirds,0.9586678667866786,0.966977941342015,0.8329292929292931,,,,10.72661845991388
cifar10,shard,clean,Flirds1st,0.735139513951395,0.7737781972646883,0.5490909090909092,,,,4.1310437940992415
cifar10,shard,clean,GTG,0.545970597059706,0.5414968980207285,0.3858585858585859,,,,1362.9640034979675
cifar10,shard,clean,ShapleyFL,0.37234923492349226,0.381389873811564,0.25878787878787884,,,,1466.6680343018961
cifar10,shard,clean,loss-heur,0.8156015601560156,0.8559912847694762,0.6351515151515152,,,,9.215267211489845
cifar10,shard,free_rider,(b)oracle,,,,0.49444444444444446,,,833.4154567852771
cifar10,shard,free_rider,ComFedSV,0.0011804940854172976,0.00044738099457250605,0.010124817521815361,0.08902777777777778,,,23.4854456212682
cifar10,shard,free_rider,FedIF,0.45440132403159117,0.5290814439740172,0.310934613459808,0.8536111111111112,,,5.415078727450843
cifar10,shard,free_rider,FedSV,0.20914179014868509,0.1705916194207294,0.12751400618054418,0.001250000000000003,,,297.0400984910472
cifar10,shard,free_rider,Flirds,0.9312904673376498,0.9864249824818648,0.8673061550759392,0.5777777777777778,,,10.553670912282541
cifar10,shard,free_rider,Flirds1st,0.5445776438660598,0.7035410251516613,0.42653876898481213,0.8833333333333333,,,4.2462640919256955
cifar10,shard,free_rider,GTG,0.2026645782929716,0.17434914391856982,0.12883463455295488,0.0011111111111111146,,,1100.6383652690176
cifar10,shard,free_rider,ShapleyFL,0.15311041910635356,0.12063259616825377,0.08937014396832599,0.0,,,1489.7147197603092
cifar10,shard,free_rider,loss-heur,0.8708506955574075,0.9413057296640354,0.7691446842525979,0.6166666666666667,,,9.281305242640277
cifar10,shard,frrand,(b)oracle,,,,0.49444444444444446,,,825.6536337876072
cifar10,shard,frrand,ComFedSV,0.005352535253525355,0.0010777115672827807,0.013063973063973064,0.0888888888888889,,,23.501273473414283
cifar10,shard,frrand,FedIF,0.4395359535953595,0.5295926832766445,0.2861952861952863,0.8531944444444445,,,5.19238359729449
cifar10,shard,frrand,FedSV,0.2051485148514851,0.17076826007866944,0.12000000000000004,0.001250000000000003,,,299.72327289066743
cifar10,shard,frrand,Flirds,0.9343934393439343,0.986412890529485,0.8720538720538723,0.5777777777777778,,,10.58136122879417
cifar10,shard,frrand,Flirds1st,0.5629562956295628,0.703754291368318,0.4606060606060607,0.8833333333333333,,,4.198795781005174
cifar10,shard,frrand,GTG,0.19610361036103607,0.17201897551103626,0.1175757575757576,0.0015277777777777824,,,1106.759952300655
cifar10,shard,frrand,ShapleyFL,0.15987198719871984,0.12096297430541851,0.1020875420875421,0.0,,,1502.1842361356055
cifar10,shard,frrand,loss-heur,0.8689588958895889,0.9413216323359985,0.7500336700336702,0.6166666666666667,,,9.19864251561618
cifar10,shard,grad_noise,(b)oracle,,,,0.9848611111111111,,,832.6519638823034
cifar10,shard,grad_noise,ComFedSV,0.31484348434843484,0.28417467326623275,0.225993265993266,0.6919444444444446,,,23.613669921644032
cifar10,shard,grad_noise,FedIF,0.7765376537653764,0.7773328481451446,0.5566329966329967,0.993611111111111,,,5.391960909745346
cifar10,shard,grad_noise,FedSV,0.8094809480948094,0.8511436197291302,0.6060606060606061,1.0,,,298.2718853300127
cifar10,shard,grad_noise,Flirds,0.9414901490149014,0.9358730833862071,0.7975757575757577,0.9995833333333334,,,10.281397004650595
cifar10,shard,grad_noise,Flirds1st,0.28477647764776476,0.2701959626339731,0.2200673400673401,0.46513888888888894,,,4.296306759933941
cifar10,shard,grad_noise,GTG,0.8083768376837682,0.8531194538907343,0.6025589225589226,1.0,,,1020.4576700242469
