dataset,scenario,seed,method,spearman_b,pearson_b,spearman_a,pearson_a,stage,partition,threat,flip_rate,cell,n_corrupt,kendall_b,cos_b,euc_b,maxdiff_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,label_flip@'0.15',2,FedIF,0.7453465346534652,0.7386702731721614,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.5616161616161617,0.34106376464686716,5.24719877334598,0.8042324279232964,0.5515857085507828,0.0891925545643227,nan,5.4373209869954735
cifar10,label_flip@'0.15',2,loss-heur,0.9467626762676266,0.9598605339356671,,,c2fid,iid,label_flip,'0.15',cifar10_iid_label-flip_fr0.15_fid_seed2,47,0.8113131313131314,0.08538300620753281,0.13918134974587465,0.02749495581975059,0.7342432757928543,0.40501054932515407,nan,9.318806163035333
cifar10,label_flip@'0.35',0,(b)oracle,,,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,,,,,1.0,0.8448499139715372,nan,829.1929412239697
cifar10,label_flip@'0.35',0,Flirds,0.9973477347734772,0.9994309416564838,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.9672727272727274,0.000873313284075361,0.03416518597215151,0.009059923251033844,1.0,0.8448499139715372,nan,11.175732132047415
cifar10,label_flip@'0.35',0,Flirds1st,0.9751935193519351,0.9682282414795329,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.8622222222222223,0.1867965159396897,0.45569752640653843,0.07612804988443499,0.9928541403951239,0.8327755562266728,nan,4.390443218173459
cifar10,label_flip@'0.35',0,GTG,0.9168316831683168,0.9618417378059891,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.7555555555555556,0.03737877319253924,0.2272343096045183,0.04839386386884578,1.0,0.8448499139715372,nan,1066.481493681902
cifar10,label_flip@'0.35',0,FedSV,0.8860126012601259,0.9311765525764768,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.7127272727272729,0.0758398538531625,1.7663210821837168,0.5047033380421381,0.9978982765868011,0.8412986322818711,nan,293.91505777207203
cifar10,label_flip@'0.35',0,ComFedSV,0.36974497449744964,0.38017888261115446,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.24767676767676775,0.6596646404328514,3.7171688813070034,1.058177464719106,0.7595628415300547,0.4385832886737488,nan,23.209743632934988
cifar10,label_flip@'0.35',0,ShapleyFL,0.8036003600360035,0.8709690454104034,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.6226262626262627,0.43277578778844794,6.114108961948483,0.9399086264053117,0.9827658680117697,0.8157294041162759,nan,1471.1056670648977
cifar10,label_flip@'0.35',0,FedIF,0.8224902490249024,0.8601012175918363,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.6375757575757577,0.4954412633430745,5.477008059540127,0.8795732141810066,0.9310634720470786,0.7283678745504928,nan,5.567319333087653
