cell,dataset,partition,threat,seed,method,runtime,auroc,spearman_a,spearman_b,kendall_a,kendall_b,pearson_a,pearson_b,cos_a,cos_b,euc_a,euc_b,maxdiff_a,maxdiff_b,n_neg,n_exact_zero,phi_min,phi_max,n_neg_clean,phi_clean_mean,n_neg_corrupt,n_exact_zero_corrupt,phi_corrupt_mean,phi_gap,phi_gap_norm
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,(b)oracle,112.77890231000492,1.0,0.4578625123896586,,0.3138229572304239,,0.7381774580177681,,0.0958010300358042,,0.19079977390925193,,0.1469282696413617,,0,4,-0.0,0.1952260613441469,0,0.18217219909032198,0.0,4.0,0.0,0.18217219909032198,0.9331346329278578
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,Flirds,1.8079235450131819,1.0,0.39514162028148625,0.9870967741935485,0.2655425022718972,0.9487179487179487,0.7358461664540608,0.9999798162631568,0.09656920764762367,8.090878544475544e-06,0.19314259852178275,0.003959274509193705,0.1492706953006604,0.002342425659298708,0,4,-0.0,0.19753501736558976,0,0.18360126036374522,0.0,4.0,0.0,0.18360126036374522,0.9294618382721657
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,Flirds1st,0.33393218799028546,1.0,0.7087460808223484,0.8451612903225808,0.506944777064531,0.6923076923076923,0.7633623532891692,0.9969184291741522,0.08807613608565201,0.0012388468070455572,0.17319195164976653,0.03369130000278013,0.12593068381946473,0.020997585821896952,0,4,-0.0,0.19207479208707812,0,0.1713779498822987,0.0,4.0,0.0,0.1713779498822987,0.8922459216022663
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,GTG,71.81212222902104,1.0,0.6930123197952736,0.8066439653301318,0.44946657497549475,0.5967623950328607,0.7650302837474164,0.9665639859704678,0.13133303541207808,0.025952643224353644,0.2001694585646651,0.16033995681595709,0.08150656415631946,0.08106583081393343,4,0,-0.02460035144343374,0.1657607960051562,0,0.12357459540396898,4.0,0.0,-0.019626389541047173,0.14320098494501615,0.7522595175766623
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,FedSV,22.564696076035034,0.9583333333333334,0.3404271044608362,0.6753298314391801,0.22473328748774737,0.5967623950328607,0.46040768724398795,0.554552777086586,0.21098613574951153,0.1945570934823907,0.2915422446629774,0.28782262105370093,0.15634576968692587,0.1610277454058331,0,0,0.02879144748051962,0.3145508408546448,0,0.15644987689124215,0.0,0.0,0.038583423693974814,0.11786645319726734,0.41246746714272614
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,ComFedSV,18.34229255601531,0.75,0.1702135522304181,0.6815828854339875,0.1797866299901979,0.5490214034302319,0.432738450126925,0.5136241893236911,0.2360605401974819,0.22293873330293845,0.3165806837743026,0.314977317727624,0.18792309416589273,0.18532957633336364,1,0,-0.005479385455449422,0.3608988920847575,1,0.15369012869066664,0.0,0.0,0.042723045994838074,0.11096708269582857,0.3028757147963033
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,Banzhaf,112.82576124899788,1.0,0.4578625123896586,1.0,0.3138229572304239,1.0,0.7382459874283102,0.9999994114454008,0.0957726722242267,2.361544017004391e-07,0.19447544637088,0.007865068225456805,0.1501811238395789,0.003293378402789343,0,4,-0.0,0.19850165024399757,0,0.18538235997160277,0.0,4.0,0.0,0.18538235997160277,0.9339084070270014
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,ShapleyFL,112.43977000599261,0.0,-0.5331275829194655,-0.7935483870967742,-0.3138229572304239,-0.5897435897435898,-0.6620384121623113,-0.7238012448380805,0.3746669629533821,0.5047038232296122,2.17638311553909,2.2159460174253924,0.9242448677283791,0.9737160332915689,0,0,0.1437782992315741,0.9737160332915689,0,0.4894008368594027,0.0,0.0,0.9737160332915689,-0.48431519643216614,-0.5835560627698316
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,FedIF,0.44648861401947215,1.0,0.47040669081129305,0.935483870967742,0.3621034121889507,0.8461538461538461,0.7054040761047691,0.9830089218649455,0.10939273753722567,0.006962730590403754,1.2269050892397402,1.1256063350295855,0.6313376048143565,0.5824355300262479,0,4,0.0,0.7776615913703948,0,0.633796968158586,0.0,4.0,0.0,0.633796968158586,0.815003563493099
cifar10_iid_free-rider_seed0,cifar10,iid,free_rider,0,loss-heur,0.7409094240283594,1.0,0.6460251887141759,0.935483870967742,0.41038386714747743,0.7948717948717948,0.7566833359656179,0.9983885114583518,0.09017547703256046,0.0006479297613281032,0.16613980055463662,0.06751395043231255,0.11152387954469709,0.0354043900966646,0,4,-0.0,0.17399466037750244,0,0.15511943896611533,0.0,4.0,0.0,0.15511943896611533,0.891518386998572
