r,S,size,n_S,u_true,u_t1,u_t2,resid1,resid2,norm_dS,c_S,u_renorm
1,0+1+4,3,600,-0.0007922649383544922,-0.0007942943630041555,-0.0007924633207778697,2.0294246496632695e-06,1.9838242337755219e-07,0.002746990753142807,1.6666666666666667,-0.0013179779052734375
1,0+2+3,3,600,-0.0011157989501953125,-0.0011203166650375351,-0.001115902536547253,4.517714842222631e-06,1.0358635194052113e-07,0.00287347504248381,1.6666666666666667,-0.00185394287109375
1,0+2+4,3,600,-0.0007841587066650391,-0.0007867793756304309,-0.0007847472181978787,2.6206689653918147e-06,5.885115328396751e-07,0.002677680187006026,1.6666666666666667,-0.0013048648834228516
1,0+3+4,3,600,-0.0010254383087158203,-0.001028881422826089,-0.0010252391626579538,3.4431141102686524e-06,1.9914605786652828e-07,0.0027899362196476337,1.6666666666666667,-0.0017037391662597656
1,1+2+3,3,600,-0.001201629638671875,-0.0012078977597411722,-0.001201887880949215,6.2681210692971945e-06,2.5824227734005945e-07,0.0030058248561257313,1.6666666666666667,-0.0019953250885009766
1,1+2+4,3,600,-0.0008699893951416016,-0.0008743604703340679,-0.0008702195919738642,4.371075192466378e-06,2.3019683226266352e-07,0.002855512059997209,1.6666666666666667,-0.0014450550079345703
1,1+3+4,3,600,-0.0011107921600341797,-0.001116462517529726,-0.001111276417258722,5.670357495546341e-06,4.842572245422616e-07,0.0029086848555200627,1.6666666666666667,-0.0018455982208251953
1,2+3+4,3,600,-0.0011034011840820312,-0.0011089475301560014,-0.0011036174929870413,5.546346073970199e-06,2.1630890501000977e-07,0.002752548463929762,1.6666666666666667,-0.0018324851989746094
1,0+1+2+3,4,800,-0.0014407634735107422,-0.0014472585608018562,-0.0014414141112020218,6.495087291114032e-06,6.506376912795986e-07,0.003579978245261622,1.25,-0.0017991065979003906
1,0+1+2+4,4,800,-0.0011088848114013672,-0.001113721271394752,-0.0011094764890842157,4.8364599933847785e-06,5.916776828485126e-07,0.0035128488467028435,1.25,-0.0013844966888427734
1,0+1+3+4,4,800,-0.0013501644134521484,-0.00135582331859041,-0.0013510240375147475,5.658905138261616e-06,8.596240625990959e-07,0.0034592376930154714,1.25,-0.0016865730285644531
