cell,scale,regime,seed,method,spearman,kendall,pearson_vs_b,runtime
7B_std20_seed0,7B,std20,0,FedIF,0.5639097744360902,0.3368421052631579,0.5594441206059626,6551.293962799944
7B_std20_seed0,7B,std20,0,loss-heur,1.0,1.0,0.9999824449331356,12392.791800162755
7B_std20_seed1,7B,std20,1,Flirds,0.9984962406015038,0.9894736842105263,0.9999146889306277,19826.705297439825
7B_std20_seed1,7B,std20,1,Flirds1st,1.0,1.0,0.9999229641259841,6361.980098863132
7B_std20_seed1,7B,std20,1,GTG,0.9924812030075187,0.9578947368421054,0.9914587045579848,15103.043690107763
7B_std20_seed1,7B,std20,1,FedSV,0.9548872180451128,0.8421052631578948,0.9693340736589688,15101.630048485938
7B_std20_seed1,7B,std20,1,ComFedSV,0.1518796992481203,0.10526315789473685,0.16540687618591834,9839.632511203643
7B_std20_seed1,7B,std20,1,ShapleyFL,0.29172932330827067,0.19999999999999998,0.3939891989985152,12078.469598076772
7B_std20_seed1,7B,std20,1,FedIF,0.3383458646616541,0.24210526315789474,0.4342637675624724,6370.392025711946
7B_std20_seed1,7B,std20,1,loss-heur,1.0,1.0,0.999993699157232,12064.363588303793
7B_std20_seed2,7B,std20,2,Flirds,1.0,1.0,0.9999859423851866,20345.89466804918
7B_std20_seed2,7B,std20,2,Flirds1st,0.9969924812030074,0.9789473684210527,0.9998687333870104,6551.126135119703
7B_std20_seed2,7B,std20,2,GTG,0.9849624060150375,0.9368421052631579,0.9943591776370211,15565.992889664136
7B_std20_seed2,7B,std20,2,FedSV,0.9714285714285714,0.8842105263157894,0.9761885885384184,15567.696756986901
7B_std20_seed2,7B,std20,2,ComFedSV,0.16691729323308271,0.12631578947368421,0.08646272649884795,9973.95134784514
7B_std20_seed2,7B,std20,2,ShapleyFL,0.45563909774436084,0.3263157894736842,0.44797061524075965,12452.750260418281
7B_std20_seed2,7B,std20,2,FedIF,0.5368421052631579,0.38947368421052636,0.5312981363148079,6562.460982915945
7B_std20_seed2,7B,std20,2,loss-heur,0.9984962406015038,0.9894736842105263,0.9999901876195055,12439.137746954802
7B_anchor5_seed0,7B,anchor5,0,Flirds,0.9999999999999999,0.9999999999999999,0.9999998233150734,3053.2385894362815
7B_anchor5_seed0,7B,anchor5,0,Flirds1st,0.9999999999999999,0.9999999999999999,0.9999977023654322,983.4201280190609
7B_anchor5_seed0,7B,anchor5,0,GTG,0.9999999999999999,0.9999999999999999,0.9999813337038175,15084.33261416899
7B_anchor5_seed0,7B,anchor5,0,FedSV,0.9999999999999999,0.9999999999999999,0.9946124971195648,14930.166543719824
7B_anchor5_seed0,7B,anchor5,0,ComFedSV,0.7999999999999999,0.6,0.7886716236661458,9327.768057577778
