dataset,partition,threat,flip_rate,seed,source,clean_false_fire,corrupt_fire
cifar10,dir1,label_flip,0.7,2,fedif,0.026729559748427674,0.8687943262411347
cifar10,dir1,label_flip,0.7,2,fedsv,0.28144654088050314,0.7074468085106383
cifar10,dir1,label_flip,0.7,2,flirds,0.0660377358490566,0.9627659574468085
cifar10,dir1,label_flip,0.7,2,flirds1st,0.026729559748427674,0.8687943262411347
cifar10,dir1,label_flip,0.7,2,gtg,0.2751572327044025,0.7783687943262412
cifar10,dir1,label_flip,0.7,2,lossheur,0.07389937106918239,0.9219858156028369
cifar10,dir1,label_flip,0.7,2,shapleyfl,0.2610062893081761,0.7854609929078015
cifar10,dir1,label_flip,,0,comfedsv,0.2774725274725275,0.6927966101694916
cifar10,dir1,label_flip,,0,fedif,0.042582417582417584,0.7627118644067796
cifar10,dir1,label_flip,,0,fedsv,0.2802197802197802,0.6716101694915254
cifar10,dir1,label_flip,,0,flirds,0.10027472527472528,0.9470338983050848
cifar10,dir1,label_flip,,0,flirds1st,0.042582417582417584,0.7627118644067796
cifar10,dir1,label_flip,,0,gtg,0.2774725274725275,0.7330508474576272
cifar10,dir1,label_flip,,0,lossheur,0.08928571428571429,0.8622881355932204
cifar10,dir1,label_flip,,0,shapleyfl,0.24862637362637363,0.7584745762711864
cifar10,dir1,label_flip,,1,comfedsv,0.27129337539432175,0.6908127208480566
cifar10,dir1,label_flip,,1,fedif,0.025236593059936908,0.8091872791519434
cifar10,dir1,label_flip,,1,fedsv,0.27917981072555204,0.6802120141342756
cifar10,dir1,label_flip,,1,flirds,0.07886435331230283,0.9363957597173145
cifar10,dir1,label_flip,,1,flirds1st,0.025236593059936908,0.8091872791519434
cifar10,dir1,label_flip,,1,gtg,0.25236593059936907,0.6837455830388692
cifar10,dir1,label_flip,,1,lossheur,0.07886435331230283,0.8851590106007067
cifar10,dir1,label_flip,,1,shapleyfl,0.24290220820189273,0.6978798586572438
cifar10,dir1,label_flip,,2,comfedsv,0.26572327044025157,0.6613475177304965
cifar10,dir1,label_flip,,2,fedif,0.02358490566037736,0.8262411347517731
cifar10,dir1,label_flip,,2,fedsv,0.2672955974842767,0.6684397163120568
cifar10,dir1,label_flip,,2,flirds,0.05817610062893082,0.9432624113475178
cifar10,dir1,label_flip,,2,flirds1st,0.02358490566037736,0.8262411347517731
cifar10,dir1,label_flip,,2,gtg,0.2641509433962264,0.6843971631205674
cifar10,dir1,label_flip,,2,lossheur,0.06761006289308176,0.898936170212766
cifar10,dir1,label_flip,,2,shapleyfl,0.24842767295597484,0.6790780141843972
