dataset,partition,threat,flip_rate,seed,arm,source,policy,timing,final_acc,delta_acc,recovery,auroc,rounds_to_target,kept,skipped,dedup_shared
cifar10,dir1,clean,,1,comfedsv_cgate,comfedsv,P5h,online,0.632625,-0.0010000000000000009,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_gate_v2,comfedsv,P1,online,0.60075,-0.03287499999999999,,,87.0,,,
cifar10,dir1,clean,,1,comfedsv_gatew_v2,comfedsv,P2,online,0.601,-0.032625000000000015,,,90.0,,,
cifar10,dir1,clean,,1,comfedsv_mult,comfedsv,P3,online,0.632875,-0.0007500000000000284,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_pweight,comfedsv,P5s,online,0.634375,0.0007500000000000284,,,72.0,,,
cifar10,dir1,clean,,1,comfedsv_zgate_v2,comfedsv,P4,online,0.6425,0.008874999999999966,,,77.0,,,
cifar10,dir1,clean,,1,fedif_cgate,fedif,P5h,online,0.639375,0.005750000000000033,,,74.0,,,
cifar10,dir1,clean,,1,fedif_gate_v2,fedif,P1,online,0.639375,0.005750000000000033,,,71.0,,,
cifar10,dir1,clean,,1,fedif_gatew_v2,fedif,P2,online,0.63425,0.0006249999999999867,,,74.0,,,
cifar10,dir1,clean,,1,fedif_mult,fedif,P3,online,0.64125,0.007624999999999993,,,79.0,,,
cifar10,dir1,clean,,1,fedif_pweight,fedif,P5s,online,0.632625,-0.0010000000000000009,,,71.0,,,
cifar10,dir1,clean,,1,fedif_zgate_v2,fedif,P4,online,0.635375,0.0017500000000000293,,,73.0,,,
cifar10,dir1,clean,,1,fedsv_cgate,fedsv,P5h,online,0.63475,0.0011250000000000426,,,67.0,,,
cifar10,dir1,clean,,1,fedsv_gate_v2,fedsv,P1,online,0.60675,-0.026874999999999982,,,82.0,,,
cifar10,dir1,clean,,1,fedsv_gatew_v2,fedsv,P2,online,0.610125,-0.023499999999999965,,,87.0,,,
cifar10,dir1,clean,,1,fedsv_mult,fedsv,P3,online,0.635875,0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,1,fedsv_pweight,fedsv,P5s,online,0.631625,-0.0020000000000000018,,,74.0,,,
cifar10,dir1,clean,,1,fedsv_zgate_v2,fedsv,P4,online,0.647625,0.014000000000000012,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_cgate,flirds1st,P5h,online,0.639375,0.005750000000000033,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_gate_v2,flirds1st,P1,online,0.63975,0.006125000000000047,,,71.0,,,
cifar10,dir1,clean,,1,flirds1st_gatew_v2,flirds1st,P2,online,0.6345,0.0008749999999999591,,,74.0,,,
cifar10,dir1,clean,,1,flirds1st_mult,flirds1st,P3,online,0.641,0.00737500000000002,,,72.0,,,
cifar10,dir1,clean,,1,flirds1st_pweight,flirds1st,P5s,online,0.631375,-0.0022499999999999742,,,72.0,,,
cifar10,dir1,clean,,1,flirds1st_zgate_v2,flirds1st,P4,online,0.635125,0.0015000000000000568,,,77.0,,,
cifar10,dir1,clean,,1,flirds_cgate,flirds,P5h,online,0.638375,0.004750000000000032,,,75.0,,,
cifar10,dir1,clean,,1,flirds_gate_v1,flirds,P1v1,online,0.638375,0.004750000000000032,,,74.0,,,
cifar10,dir1,clean,,1,flirds_gate_v2,flirds,P1,online,0.639375,0.005750000000000033,,,73.0,,,
cifar10,dir1,clean,,1,flirds_gatew_v1,,,,0.632125,-0.0014999999999999458,,,74.0,,,
cifar10,dir1,clean,,1,flirds_gatew_v2,flirds,P2,online,0.623625,-0.010000000000000009,,,75.0,,,
cifar10,dir1,clean,,1,flirds_mult,flirds,P3,online,0.639375,0.005750000000000033,,,72.0,,,
cifar10,dir1,clean,,1,flirds_pweight,flirds,P5s,online,0.63875,0.005125000000000046,,,74.0,,,
cifar10,dir1,clean,,1,flirds_zgate_v2,flirds,P4,online,0.642375,0.008750000000000036,,,73.0,,,
cifar10,dir1,clean,,1,gtg_cgate,gtg,P5h,online,0.63875,0.005125000000000046,,,76.0,,,
cifar10,dir1,clean,,1,gtg_gate_v2,gtg,P1,online,0.612,-0.021625000000000005,,,85.0,,,
cifar10,dir1,clean,,1,gtg_gatew_v2,gtg,P2,online,0.604625,-0.029000000000000026,,,83.0,,,
cifar10,dir1,clean,,1,gtg_mult,gtg,P3,online,0.636125,0.0025000000000000577,,,72.0,,,
cifar10,dir1,clean,,1,gtg_pweight,gtg,P5s,online,0.6335,-0.00012500000000004174,,,74.0,,,
cifar10,dir1,clean,,1,gtg_zgate_v2,gtg,P4,online,0.64125,0.007624999999999993,,,72.0,,,
cifar10,dir1,clean,,1,lossheur_cgate,lossheur,P5h,online,0.63925,0.005624999999999991,,,74.0,,,
cifar10,dir1,clean,,1,lossheur_gate_v2,lossheur,P1,online,0.629875,-0.003750000000000031,,,79.0,,,
cifar10,dir1,clean,,1,lossheur_gatew_v2,lossheur,P2,online,0.634375,0.0007500000000000284,,,78.0,,,
cifar10,dir1,clean,,1,lossheur_mult,lossheur,P3,online,0.637375,0.003750000000000031,,,72.0,,,
cifar10,dir1,clean,,1,lossheur_pweight,lossheur,P5s,online,0.6365,0.002874999999999961,,,71.0,,,
